use_code,use_code_d,aggregate_to,count
12200,,Other,13
12208,,Other,3
20000,,Other,1
20006,,Other,3
20010,,Other,1
22010,APT-FLAT SLAB TYPE,Residential,86
22020,APT-FLAT GARDEN TYPE,Residential,1789
22030,APT-WALK UP,Residential,877
22040,APT-W/ ELEVATOR,Residential,181
22041,DORMITORY,Residential,9
22045,,Residential,2
22050,,Residential,24
22060,COMM - CONDO,Residential,2
22070,COOPERATIVE,Residential,1
22080,APT-HI-RISE,Residential,388
22090,,Residential,13
22091,,Residential,2
22092,ASSISTED LIVING RESIDENCE,Residential,42
22094,NURSING HOME,Residential,25
22110,HOTEL-FULL SERVICE,Commercial,14
22120,HOTEL-LIMITED SERVICE,Commercial,3
22130,HOTEL-APT,Commercial,5
22140,MOTEL,Commercial,33
22150,MOTEL W/RESTAURANT,Commercial,3
22160,PUBLIC LODGING HOUSE-ROOMING HOUSE,Commercial,18
22210,GAS STATION NO-SERVICE,Commercial,251
22211,,Commercial,3
22220,GAS STATION W/SERVICE,Commercial,88
22221,GARAGE MINI-LUBE,Commercial,6
22230,AUTO SALE W/SERVICE,Commercial,173
22240,SERVICE AND REPAIR STATION,Commercial,875
22250,CARWASH,Commercial,160
22255,PARKING LOT-PAVED,Empty Lot,3495
22256,PARKING LOT-GRAVEL,Empty Lot,216
22260,GARAGE-PARKING-ABOVE GROUND,Commercial,93
22270,GARAGE-PARKING-UNDERGROUND,Commercial,5
22280,GAS STATION W/CONV STORE-RESTURANT,Commercial,59
22310,HEALTH PROFESSIONAL OFFICE,Commercial,404
22311,HOSPITAL,Commercial,17
22316,MEDICAL DISPENSARIES,Commercial,4
22318,VETERINARY,Commercial,8
22320,OFFICE BLDG-3 STORIES OR MORE,Commercial,121
22330,OFFICE BLDG--3 STORIES OR LESS,Commercial,569
22337,SCHOOL,Institutional,244
22338,CHILD CARE CENTER,Commercial,26
22340,,Commercial,13
22350,MAJOR OFFICE BLDG 3 STORIES OR MORE W/PKNGS,Commercial,7
22360,GREENHOUSE,Commercial,10
22370,FLORIST,Commercial,5
22380,DRY CLEANER,Commercial,74
22381,LAUNDROMAT,Commercial,38
22410,STORE-RETAIL,Commercial,4388
22411,STORE-PARTY/ NEIGHBORHOOD,Commercial,42
22413,DRUG STORE,Commercial,35
22415,MIXED USE-RETAIL,Commercial,87
22420,MIXED USE-OFFICE,Commercial,93
22425,MIXED USE-CONDO,Residential,15
22430,STORE W/ LOFT ABOVE,Commercial,42
22440,MIXED USE-APT,Residential,688
22450,SUPERMARKET,Commercial,84
22460,SHOPPING CENTER,Commercial,145
22469,,Commercial,1
22470,RESTAURANT,Commercial,536
22472,RESTAURANT-FAST FOOD,Commercial,36
22475,ICE CREAM/ REFRESHMENT,Commercial,2
22480,BAR,Commercial,270
22481,"BARBER, BEAUTY SHOP",Commercial,232
22490,,Commercial,4
22510,,Commercial,1
22530,BOWLING CENTER,Commercial,2
22540,BOWLING CENTER W/RESTURANT,Commercial,2
22550,"FITNESS CENTER,ARENA,GYMS,HEALTH CLUB",Commercial,15
22560,COMMERCIAL HALL,Commercial,52
22561,,Commercial,1
22570,DANCE HALL,Commercial,4
22580,PRIVATE CLUB,Commercial,113
22610,MORTUARY-FUNERAL HOME,Commercial,57
22620,MOVIE THEATER,Commercial,17
22630,BANK BRANCH,Commercial,96
22640,BANK MINI (WALK-UP & DRIVE-THROUGH),Commercial,8
22650,RELIGIOUS STRUCTURE/USE,Institutional,1169
22660,,Commercial,15
22670,CASINO,Commercial,27
22680,SKATING RINK,Commercial,10
22690,,Commercial,44
22710,,Commercial,8
22720,,Commercial,8
22730,POST OFFICE,Commercial,33
22740,SHED,Commercial,57
22750,OTHER COMMERCIAL STRUCTURE,Commercial,720
22760,,Residential,7
22770,,Industrial,176
22780,,Commercial,2
22810,,Empty Lot,859
22840,,Empty Lot,154
22850,,Empty Lot,593
28400,,Commercial,1
29000,,Commercial,2
31401,,Industrial,1
31404,,Industrial,1
33000,WAREHOUSE,Industrial,604
33010,LIGHT MANUFACTURING,Industrial,394
33020,HEAVY MANUFACTURING,Industrial,27
33030,INDUSTRIAL-ENGINEERING,Industrial,32
33033,,Industrial,1
33040,INDUSTRIAL-COLD STORAGE,Industrial,15
33050,INDUSTRIAL FLEX,Industrial,10
33060,,Industrial,5
33070,TOOL AND DIE SHOP,Industrial,75
33080,TRUCK TERMINAL,Industrial,19
33090,,Industrial,8
33100,,Industrial,3
33110,,Industrial,8
33120,,Industrial,2
33130,,Industrial,18
33140,,Industrial,26
33150,,Industrial,2
33160,,Industrial,1
33170,LABORATORY/RESEARCH & DEVELOPMENT,Industrial,19
33180,PRINTING AND PUBLISHING,Industrial,12
33200,,Industrial,17
33210,,Industrial,2
33220,,Industrial,3
33230,,Industrial,1
33240,,Industrial,3
33250,,Industrial,2
33260,,Industrial,47
33270,SCRAP YARD,Industrial,77
33290,,Industrial,11
33300,,Industrial,2
33310,,Industrial,4
33320,,Industrial,146
33330,WAREHOUSE STORAGE,Industrial,554
33331,WAREHOUSE-DISTRIBUTION,Industrial,38
33334,,Industrial,2
33350,,Industrial,1
33360,,Industrial,16
33370,,Industrial,21
33380,,Industrial,83
33390,,Industrial,3
33400,,Industrial,1
33410,INDUSTRIAL USE-OFFICE BUILDING,Industrial,184
33420,,Residential,3
33430,,Commercial,35
33440,"SHED,BARN,SHELTER",Industrial,16
33450,"POWER HOUSE,SWITCH, OR TRANSFORMER BUILDING",Industrial,88
33460,,Commercial,550
33470,COVERED LOADING DOCK,Industrial,7
33480,OTHER INDUSTRIAL STRUCTURE,Industrial,57
33490,RAILROAD,Industrial,89
33800,,Industrial,1
34400,,Industrial,2
41110,SINGLE FAMILY,Residential,199292
41112,,Residential,465
41120,HALF DUPLEX,Residential,1916
41124,NEZ LAND,Empty Lot,3619
41125,NEZ BLDG,Residential,13
41140,CARRIAGE HOUSE,Residential,3
41150,BOAT HOUSE,Residential,1
41210,TWO FAMILY,Residential,18136
41220,THREE FAMILY,Residential,668
41230,FOUR FAMILY,Residential,1209
41240,FIVE FAMILY,Residential,57
41250,SIX FAMILY,Residential,29
41270,,Residential,11
41310,INCOME BUNGALOW,Residential,9760
41320,DUPLEX,Residential,844
41330,ROW HOUSE,Residential,772
41340,GARAGE - RESIDENTIAL STAND-ALONE,Residential,961
41430,,Residential,3
41440,RESIDENTIAL - CONDO,Residential,1062
41450,,Residential,5
41460,,Residential,4
42200,,Residential,1
43000,PARSONAGE,Institutional,7
43400,,Commercial,1
44600,,Industrial,1
70602,,Other,2
91000,,Commercial,17
92010,,Commercial,3
93000,,Commercial,8
93010,,Commercial,47
93020,,Commercial,3
00001,IMPROVED NO BLDG,Empty Lot,750
00002,,Empty Lot,231
00003,VACANT RESIDENTIAL,Empty Lot,77072
00004,VACANT COMMERCIAL,Empty Lot,8244
00005,VACANT INDUSTRIAL,Empty Lot,1969
00006,SPEC ACT LAND ONLY,Empty Lot,190
00600,,Empty Lot,5
00602,,Empty Lot,2
00VAC,,Empty Lot,23224
05800,,Empty Lot,1
