column_name,value,indicator_id,question_id,question_option_id
Block_Neighborhood_Community_Group_Participation:Activity_Participation_Frequency,1,2,1,1
Block_Neighborhood_Community_Group_Participation:Activity_Participation_Frequency,2,2,1,2
Block_Neighborhood_Community_Group_Participation:Activity_Participation_Frequency,3,2,1,3
Block_Neighborhood_Community_Group_Participation:Activity_Participation_Frequency,4,2,1,4
Community_Group_Outside_of_Neighborhod_Participation:Activity_Participation_Frequency,1,2,2,1
Community_Group_Outside_of_Neighborhod_Participation:Activity_Participation_Frequency,2,2,2,2
Community_Group_Outside_of_Neighborhod_Participation:Activity_Participation_Frequency,3,2,2,3
Community_Group_Outside_of_Neighborhod_Participation:Activity_Participation_Frequency,4,2,2,4
Child_Quality_Recreation:Agreement_Statements_Access_and_Support,0,61,61,16
Child_Quality_Recreation:Agreement_Statements_Access_and_Support,1,61,61,17
Child_Quality_Recreation:Agreement_Statements_Access_and_Support,2,61,61,18
Child_Quality_Recreation:Agreement_Statements_Access_and_Support,3,61,61,19
Child_Quality_Recreation:Agreement_Statements_Access_and_Support,4,61,61,20
Child_Quality_Recreation:Agreement_Statements_Access_and_Support,5,61,61,21
Stay_12_Months:Agreement_Statements_Access_and_Support,0,1,1,16
Stay_12_Months:Agreement_Statements_Access_and_Support,1,1,1,17
Stay_12_Months:Agreement_Statements_Access_and_Support,2,1,1,18
Stay_12_Months:Agreement_Statements_Access_and_Support,3,1,1,19
Stay_12_Months:Agreement_Statements_Access_and_Support,4,1,1,20
Stay_12_Months:Agreement_Statements_Access_and_Support,5,1,1,21
Financial:Agreement_Statements_Detroit_Access,0,3,7,16
Financial:Agreement_Statements_Detroit_Access,1,3,7,17
Financial:Agreement_Statements_Detroit_Access,2,3,7,18
Financial:Agreement_Statements_Detroit_Access,3,3,7,19
Financial:Agreement_Statements_Detroit_Access,4,3,7,20
Financial:Agreement_Statements_Detroit_Access,5,3,7,21
Housing:Agreement_Statements_Detroit_Access,0,3,6,16
Housing:Agreement_Statements_Detroit_Access,1,3,6,17
Housing:Agreement_Statements_Detroit_Access,2,3,6,18
Housing:Agreement_Statements_Detroit_Access,3,3,6,19
Housing:Agreement_Statements_Detroit_Access,4,3,6,20
Housing:Agreement_Statements_Detroit_Access,5,3,6,21
Human_Services:Agreement_Statements_Detroit_Access,0,3,10,16
Human_Services:Agreement_Statements_Detroit_Access,1,3,10,17
Human_Services:Agreement_Statements_Detroit_Access,2,3,10,18
Human_Services:Agreement_Statements_Detroit_Access,3,3,10,19
Human_Services:Agreement_Statements_Detroit_Access,4,3,10,20
Human_Services:Agreement_Statements_Detroit_Access,5,3,10,21
Medical_Care:Agreement_Statements_Detroit_Access,0,3,8,16
Medical_Care:Agreement_Statements_Detroit_Access,1,3,8,17
Medical_Care:Agreement_Statements_Detroit_Access,2,3,8,18
Medical_Care:Agreement_Statements_Detroit_Access,3,3,8,19
Medical_Care:Agreement_Statements_Detroit_Access,4,3,8,20
Medical_Care:Agreement_Statements_Detroit_Access,5,3,8,21
Mental_Health_Services:Agreement_Statements_Detroit_Access,0,3,9,16
Mental_Health_Services:Agreement_Statements_Detroit_Access,1,3,9,17
Mental_Health_Services:Agreement_Statements_Detroit_Access,2,3,9,18
Mental_Health_Services:Agreement_Statements_Detroit_Access,3,3,9,19
Mental_Health_Services:Agreement_Statements_Detroit_Access,4,3,9,20
Mental_Health_Services:Agreement_Statements_Detroit_Access,5,3,9,21
BRFSS_Healthcare_RaceTreatment,1,51,115,158
BRFSS_Healthcare_RaceTreatment,2,51,115,159
BRFSS_Healthcare_RaceTreatment,3,51,115,160
BRFSS_Healthcare_RaceTreatment,4,51,115,161
BRFSS_Work_RaceTreatment,1,50,114,158
BRFSS_Work_RaceTreatment,2,50,114,159
BRFSS_Work_RaceTreatment,3,50,114,160
BRFSS_Work_RaceTreatment,4,50,114,161
Childcare_Prevent_Work_Meetings_Appointments,1,64,52,1
Childcare_Prevent_Work_Meetings_Appointments,2,64,52,2
Childcare_Prevent_Work_Meetings_Appointments,3,64,52,3
Childcare_Prevent_Work_Meetings_Appointments,4,64,52,4
Childcare_Prevent_Work_Meetings_Appointments,5,64,52,38
City government:Community_Engagement_Process_Participation,2,5,4,6
