indicator,indicator_type,source_id,year,start_date,end_date,indicator_id,filter_type_id,filter_option_id
population,count,1,2023,2019-01-01,2023-12-31,1,,
population,count,1,2018,2014-01-01,2018-12-31,1,,
population,count,1,2013,2009-01-01,2013-12-31,1,,
population_under_18,count,1,2023,2019-01-01,2023-12-31,8,,
population_over_65,count,1,2023,2019-01-01,2023-12-31,9,,
home_ownership_rate,percentage,1,2023,2019-01-01,2023-12-31,10,,
occupancy,percentage,1,2023,2019-01-01,2023-12-31,6,,
aian,percentage,1,2023,2019-01-01,2023-12-31,7,2,3
asian,percentage,1,2023,2019-01-01,2023-12-31,7,2,4
black,percentage,1,2023,2019-01-01,2023-12-31,7,2,5
hispanic_latino,percentage,1,2023,2019-01-01,2023-12-31,7,2,6
nhpi,percentage,1,2023,2019-01-01,2023-12-31,7,2,7
white,percentage,1,2023,2019-01-01,2023-12-31,7,2,8
other_race,percentage,1,2023,2019-01-01,2023-12-31,7,2,9
two_plus_races,percentage,1,2023,2019-01-01,2023-12-31,7,2,10
age_under_five,percentage,1,2023,2019-01-01,2023-12-31,13,5,21
age_five_to_nine,percentage,1,2023,2019-01-01,2023-12-31,13,5,22
age_ten_to_fourteen,percentage,1,2023,2019-01-01,2023-12-31,13,5,23
age_fifteen_to_nineteen,percentage,1,2023,2019-01-01,2023-12-31,13,5,24
age_twenty_to_twentyfour,percentage,1,2023,2019-01-01,2023-12-31,13,5,25
age_twentyfive_to_twenty_nine,percentage,1,2023,2019-01-01,2023-12-31,13,5,26
age_thirty_to_thirtyfour,percentage,1,2023,2019-01-01,2023-12-31,13,5,27
age_thirtyfive_to_thirtynine,percentage,1,2023,2019-01-01,2023-12-31,13,5,28
age_fourty_to_fourtyfour,percentage,1,2023,2019-01-01,2023-12-31,13,5,29
age_fourtyfive_to_fourtynine,percentage,1,2023,2019-01-01,2023-12-31,13,5,30
age_fifty_to_fiftyfour,percentage,1,2023,2019-01-01,2023-12-31,13,5,31
age_fiftyfive_to_fiftynine,percentage,1,2023,2019-01-01,2023-12-31,13,5,32
age_sixty_to_sixtyfour,percentage,1,2023,2019-01-01,2023-12-31,13,5,33
age_sixtyfive_to_sixtynine,percentage,1,2023,2019-01-01,2023-12-31,13,5,34
age_seventy_to_seventyfour,percentage,1,2023,2019-01-01,2023-12-31,13,5,35
age_seventyfive_to_seventynine,percentage,1,2023,2019-01-01,2023-12-31,13,5,36
age_eighty_to_eightyfour,percentage,1,2023,2019-01-01,2023-12-31,13,5,37
age_eightyfive_and_up,percentage,1,2023,2019-01-01,2023-12-31,13,5,38
